,Unnamed: 0.1,Unnamed: 0,Rank,Album,Artist,Editor,Year,Week,Tags
0,0,0,1,mon pays c'est l'amour,JOHNNY HALLYDAY,WARNER,2019,1,chanson francaise french rock rock francais johnny hallyday
1,1,1,2,la zone  en personne,JUL,BELIEVE / D'OR ET DE PLATINE,2019,1,rap hip-hop french
2,2,2,3,jeannine,LOMEPAL,IDOL / PINEALE PROD - GRAND MUSIQUE MANAGEMENT,2019,1,hip-hop french rap underground rap rap francais
3,3,3,4,brol,ANGÈLE,INITIAL ARTIST SERVICES / ANGELE VL RECORDS,2019,1,french 2018 pop france queen
4,4,4,5,phoenix,SOPRANO,REC. 118,2019,1,albums rap french hip-hop rap francais
5,5,5,6,nakamura,AYA NAKAMURA,REC. 118,2019,1,pop rnb r&b afropop
6,6,6,7,un air de rien,TROIS CAFES GOURMANDS,PLAY TWO,2019,1,Unknown
7,7,7,8,amigo,KENDJI GIRAC,MERCURY MUSIC GROUP / MERCURY RECORDS,2019,1,french hairy chest albums hunks nice fur
8,8,8,9,la vie de rêve,BIGFLO & OLI,POLYDOR,2019,1,albums
9,9,9,10,a star is born soundtrack,LADY GAGA,POLYDOR,2019,1,lady gaga 2018 rock country soundtrack
10,10,10,11,gentleman 2.0,DADJU,POLYDOR,2019,1,albums personal favourites congo french hip-hop
11,11,11,12,tant que rien ne m'arrête,CLAUDIO CAPÉO,SONY MUSIC DISTRIBUES / JO & CO,2019,1,acordeon hairy chest albums french pop
12,12,12,13,ceinture noire,MAÎTRE GIMS,SONY MUSIC DISTRIBUES / PLAY TWO,2019,1,albums 2018
13,13,13,14,j'ai quelque chose à vous dire,DAVID HALLYDAY,MYSTERY PALACE / PLAY TWO,2019,1,david hallyday 2018 french rock chanson francaise
14,14,14,15,la fête est finie,ORELSAN,3EME BUREAU / WAGRAM MUSIC / 3EME BUREAU,2019,1,rap fr rap french variete francaise hip hop
15,15,15,16,ce soir on sort...,PATRICK BRUEL,COLUMBIA,2019,1,french chanson francaise pop singer-songwriter francophone
16,16,16,17,effet miroir,ZAZ,PLAY ON,2019,1,french 2018 female vocalists zaz pop
17,17,17,18,pure,MAES,CAPITOL MUSIC FRANCE / MILLENIUM,2019,1,france dubstep french rap trap deutschrap
18,18,18,19,addictions,AMIR,WARNER,2019,1,2017 french
19,19,19,20,bohemian rhapsody,QUEEN,MERCURY MUSIC GROUP / VIRGIN,2019,1,classic rock rock queen 70s hard rock
20,20,20,21,origins,IMAGINE DRAGONS,POLYDOR / INTERSCOPE RECORDS,2019,1,rock 2018 alternative rock indie groovy
